	Taak		Termijn		Laatste onderhoud	Volgende onderhoud		Uitgevoerd door 	Opmerkingen + nodige aanpassingen aan onderhoudsplan	Laatste opmerking
	AFROLLER		T							
	controle + onderhoud riemen snijstraat		4	M	27/08/2025	27/12/2025	Week 52		/	20.02.2020 | 17:10
	onderhoud stacker riemen, olie etc 		1	J	24/05/2024	24/05/2025	Week 21	Flexibelt	nieuwe riemen  stacker lijn A + B	29.05.2024 | 07:15
	controle onderhoud robot + stackers inlog		1	J	28/06/2023	28/06/2024	Week 26	Ploeg Mustapha	stacker gammerler, controle onderhoud uitgeblazen en nipels gesmeerd	
	CONTIWEB DROGER C818		T			???				
	vervangen filter droger		7	D	15/12/2025	22/12/2025	Week 52	Steven		
	reinigen van de vloer onder en rond de droger - siliconewerk		4	M	29/01/2024	29/05/2024	Week 22	Robby		02.01.2020 | 15:21
	vetsmering bijvullen droger - Gadus (Shell) S3 V220C2   bijvullen tot max 40gr		6	M	10/10/2025	10/04/2026	Week 15	Steven		23.09.2025 | 09:10
	uitblazen van alle elektriciteitskasten van de droger		6	M	05/02/2024	05/08/2024	Week 32	Ploeg Koen		
	reinigen beschermingkapjes  op aandrijfmotoren droger 		1	J	05/02/2024	05/02/2025	Week 06	Ploeg Koen		
	emissie meting naverbrander door servaco nv		2	J	14/06/2022	14/06/2024	Week 24			
	onderhoud door contiweb		2	J	22/01/2024	22/01/2026	Week 04	Contiweb		15.06.2021 | 13:05
	onderhoud naverbrander door primatech		2	J	13/02/2017	13/02/2019	Week 07			16.07.2019 | 07:32
	LIJMINSTALLATIE - lijm econfold 7		T			???				
	reinigen lijmkop geleidingsstangen + lijmkophouders 		21	D	09/02/2024	01/03/2024	Week 09	Mathy		22.06.2020 | 11:33
	controle werking + reinigen lijmkoppen 		2	M	15/02/2024	15/04/2024	Week 16	Mustapha		21.01.2022 | 01:51
	lijmfilter reinigen		4	M	22/11/2025	22/03/2026	Week 13	Steven		
	lijminstallatie doorspoelen met ketel water warm water		6	M	06/02/2024	06/08/2024	Week 32			
	vervangen van nodige lijmleidingen		1	J	15/02/2024	15/02/2025	Week 07	Mustapha		
